filename,year,type,INTER,SENT,INTRA
magz_2015_vogp_0002,2015,nostalgia,0,8,0
magz_2015_vogp_0004,2015,fragrance,0,0,0
magz_2015_vogp_0011,2015,nostalgia,2,5,1
magz_2015_vogp_0016,2015,beauty,0,0,0
magz_2015_vogp_0017,2015,beauty,0,0,1
magz_2015_vogp_0113,2015,beauty,0,1,0
magz_2015_vogp_0120,2015,nostalgia,0,0,0
magz_2015_vogp_0124,2015,view,1,0,2
magz_2015_vogp_0130,2015,beauty,0,0,0
magz_2015_vogp_0132,2015,beauty,0,0,1
magz_2015_vogp_0135,2015,beauty,0,1,0
magz_2015_vogp_0138,2015,beauty,5,5,3
magz_2015_vogp_0140,2015,beauty,10,5,0
magz_2015_vogp_0141,2015,letter from the editor,0,1,1
magz_2015_vogp_0145,2015,beauty,1,0,1
magz_2016_vogp_0018,2016,letter from the editor,0,1,3
magz_2016_vogp_0019,2016,nostalgia,2,7,1
magz_2016_vogp_0020,2016,nostalgia,0,1,1
magz_2016_vogp_0023,2016,view,0,0,0
magz_2016_vogp_0027,2016,beauty,0,0,0
magz_2016_vogp_0077,2016,talking fashion,0,2,1
magz_2016_vogp_0152,2016,the hamish files,0,1,1
magz_2016_vogp_0153,2016,history of hair,0,0,0
magz_2016_vogp_0156,2016,beauty,0,0,0
magz_2016_vogp_0159,2016,nostalgia,0,3,1
magz_2016_vogp_0166,2016,view,2,4,0
magz_2016_vogp_0167,2016,view,0,0,0
magz_2016_vogp_0172,2016, nostalgia,0,1,0
magz_2016_vogp_0173,2016, talking fashion,5,10,0
magz_2016_vogp_0179,2016, beauty,0,0,1
magz_2017_vogp_0034,2017,theworkout,0,0,0
magz_2017_vogp_0036,2017,beauty,0,0,0
magz_2017_vogp_0037,2017,fashion,0,1,1
magz_2017_vogp_0039,2017,nostalgia,0,1,0
magz_2017_vogp_0041,2017,talking fashion,0,0,0
magz_2017_vogp_0042,2017,talking fashion,1,1,1
magz_2017_vogp_0049,2017,letter from the editor,1,0,0
magz_2017_vogp_0056,2017,beauty,0,0,1
magz_2017_vogp_0057,2017,letter from the editor,0,0,0
magz_2017_vogp_0071,2017,talking fashion,0,0,0
magz_2017_vogp_0079,2017,nostalgia,3,0,5
magz_2017_vogp_0083,2017,talking fashion,0,0,0
magz_2017_vogp_0097,2017,talking fashion,0,0,0
magz_2017_vogp_0098,2017,talking fashion,0,0,0
magz_2017_vogp_0101,2017,talking fashion,0,0,0
magz_2018_vogp_0183,2018, letter from the editor,0,0,0
magz_2018_vogp_0184,2018, vlife,0,0,0
magz_2018_vogp_0185,2018, vlife,0,0,0
magz_2018_vogp_0186,2018, vlife,0,0,0
magz_2018_vogp_0187,2018, vlife,0,0,0
magz_2018_vogp_0189,2018, vlife,0,0,0
magz_2018_vogp_0190,2018, letter from the editor,0,0,0
magz_2018_vogp_0191,2018, vlife,0,2,2
magz_2018_vogp_0192,2018, vlife,0,0,0
magz_2018_vogp_0194,2018, vlife,0,0,0
magz_2018_vogp_0195,2018, vlife,3,0,0
magz_2018_vogp_0196,2018, vlife,3,0,0
magz_2018_vogp_0197,2018, vlife,0,1,0
magz_2018_vogp_0198,2018, vlife,0,0,0
magz_2018_vogp_0199,2018, vlife,0,3,2
